Date,Station,Category,Value
4742692777169518592,Changi,Min Temperature,23
4744010600642772992,Changi,Max Temperature,34
4744010608192520192,Changi,Min Humidity,46.40999984741211
4742684653641531392,Changi,Max Humidity,100.0
4742704411329953792,Changi,Min Temperature,23
4742700500560904192,Changi,Max Temperature,33
4742703044825710592,Changi,Min Humidity,52.22999954223633
4742698575375368192,Changi,Max Humidity,100.0
4742705422996078592,Changi,Min Temperature,23
4742710662520635392,Changi,Max Temperature,33
4742714286399291392,Changi,Min Humidity,49.36000061035156
4742705377697595392,Changi,Max Humidity,100.0
4742727188917256192,Changi,Min Temperature,23
4742724788097646592,Changi,Max Temperature,34
4742725527972872192,Changi,Min Humidity,49.619998931884766
4742716709868142592,Changi,Max Humidity,100.0
4742727921242734592,Changi,Min Temperature,23
4742729884177006592,Changi,Max Temperature,33
4742729536888635392,Changi,Min Humidity,59.0099983215332
4742727589053857792,Changi,Max Humidity,100.0
4742747807276859392,Changi,Min Temperature,22
4742742182715195392,Changi,Max Temperature,34
4742748381057646592,Changi,Min Humidity,49.36000061035156
4742738785328955392,Changi,Max Humidity,100.0
4742751906789588992,Changi,Min Temperature,23
4742750177897480192,Changi,Max Temperature,33
4742749800410120192,Changi,Min Humidity,55.290000915527344
4742753386540040192,Changi,Max Humidity,100.0
4742763842939912192,Changi,Min Temperature,23
4742761419471060992,Changi,Max Temperature,32
4744085539433480192,Changi,Min Humidity,52.22999954223633
4742763842939912192,Changi,Max Humidity,100.0
4744101401452347392,Changi,Min Temperature,22
4742773733108744192,Changi,Max Temperature,32
4742779939000942592,Changi,Min Humidity,52.22999954223633
4742772983167188992,Changi,Max Humidity,100.0
4742783366586171392,Changi,Min Temperature,23
4744113141309243392,Changi,Max Temperature,34
4744113541445844992,Changi,Min Humidity,46.13999938964844
4742783374135918592,Changi,Max Humidity,100.0
4742794751604948992,Changi,Min Temperature,22
4742797303419502592,Changi,Max Temperature,33
4742797303419502592,Changi,Min Humidity,55.77000045776367
4742794751604948992,Changi,Max Humidity,100.0
4742812070725025792,Changi,Min Temperature,23
4744129078825582592,Changi,Max Temperature,33
4742805600591675392,Changi,Min Humidity,48.84000015258789
4742806634907041792,Changi,Max Humidity,100.0
