Date,Station,Category,Value
2006-01-11 23:00,Changi,Min Temperature,23
2016-01-28 14:30,Changi,Max Temperature,33
2006-01-28 16:00,Changi,Min Humidity,55.529998779296875
2006-01-01 00:00,Changi,Max Humidity,100.0
2016-02-24 15:00,Changi,Min Temperature,23
2006-02-27 15:30,Changi,Max Temperature,33
2016-02-17 18:00,Changi,Min Humidity,55.040000915527344
2006-02-02 06:30,Changi,Max Humidity,100.0
2006-03-23 04:30,Changi,Min Temperature,24
2006-03-07 15:00,Changi,Max Temperature,34
2006-03-09 13:30,Changi,Min Humidity,49.36000061035156
2006-03-10 05:00,Changi,Max Humidity,100.0
2006-04-09 05:30,Changi,Min Temperature,24
2016-04-10 14:00,Changi,Max Temperature,35
2016-04-07 12:00,Changi,Min Humidity,46.40999984741211
2006-04-02 05:00,Changi,Max Humidity,100.0
2006-05-22 19:00,Changi,Min Temperature,24
2016-05-10 13:30,Changi,Max Temperature,35
2016-05-01 17:00,Changi,Min Humidity,49.099998474121094
2006-05-01 05:00,Changi,Max Humidity,100.0
2006-06-09 09:00,Changi,Min Temperature,23
2006-06-03 15:30,Changi,Max Temperature,33
2016-06-29 17:30,Changi,Min Humidity,49.36000061035156
2006-06-01 22:30,Changi,Max Humidity,100.0
2006-07-03 05:30,Changi,Min Temperature,23
2006-07-26 14:30,Changi,Max Temperature,33
2016-07-05 15:30,Changi,Min Humidity,52.47999954223633
2006-07-03 05:30,Changi,Max Humidity,100.0
2006-08-10 04:00,Changi,Min Temperature,23
2006-08-05 13:00,Changi,Max Temperature,33
2016-08-26 14:00,Changi,Min Humidity,43.61000061035156
2006-08-06 13:00,Changi,Max Humidity,100.0
2006-09-15 13:30,Changi,Min Temperature,23
2016-09-21 14:30,Changi,Max Temperature,34
2016-09-29 15:30,Changi,Min Humidity,33.84000015258789
2006-09-01 01:30,Changi,Max Humidity,100.0
2016-10-03 07:00,Changi,Min Temperature,23
2016-10-02 13:00,Changi,Max Temperature,34
2016-10-02 17:00,Changi,Min Humidity,38.72999954223633
2006-10-03 11:00,Changi,Max Humidity,100.0
2016-11-09 15:30,Changi,Min Temperature,23
2006-11-01 13:00,Changi,Max Temperature,33
2016-11-08 13:00,Changi,Min Humidity,49.099998474121094
2006-11-01 16:00,Changi,Max Humidity,100.0
2006-12-14 14:30,Changi,Min Temperature,23
2006-12-12 13:30,Changi,Max Temperature,33
2016-12-14 16:30,Changi,Min Humidity,36.08000183105469
2006-12-03 10:00,Changi,Max Humidity,100.0
